"","LDW","LDB","LDA","LDNAm","LDO","LDL","MDW","MDB","MDA","MDNAm","MDO","MDL","HD","sums"
"LDW",260,6,0,0,0,20,617,31,0,0,0,111,10,1055
"LDB",0,262,0,0,0,0,4,80,0,0,0,7,4,357
"LDA",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDNAm",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDO",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDL",0,0,0,0,0,21,5,2,1,0,0,18,1,48
"MDW",7,13,0,0,0,32,149,26,16,0,0,88,29,360
"MDB",0,13,0,0,0,1,9,37,0,0,0,13,5,78
"MDA",0,0,1,0,0,0,0,2,4,0,0,1,0,8
"MDNAm",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MDO",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MDL",0,0,0,0,0,25,44,5,0,0,0,40,2,116
"HD",0,0,0,0,0,0,0,0,0,0,0,0,3,3
"sums",267,294,1,0,0,99,828,183,21,0,0,278,54,2025
