"","LDW","LDB","LDA","LDNAm","LDO","LDL","MDW","MDB","MDA","MDNAm","MDO","MDL","HD","sums"
"LDW",1011,0,0,0,0,0,435,0,0,0,0,0,0,1446
"LDB",0,286,0,0,0,0,0,106,0,0,0,0,0,392
"LDA",0,0,2,0,0,0,0,0,0,0,0,0,0,2
"LDNAm",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDO",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDL",0,0,0,0,0,53,1,0,0,0,0,18,0,72
"MDW",25,0,0,0,0,0,975,10,65,0,0,80,48,1203
"MDB",0,35,0,0,0,0,18,305,1,0,0,58,15,432
"MDA",0,0,7,0,0,0,2,0,79,0,0,1,1,90
"MDNAm",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MDO",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MDL",1,0,0,0,0,28,32,7,10,0,0,498,10,586
"HD",0,0,0,0,0,0,16,10,21,0,0,30,113,190
"sums",1037,321,9,0,0,81,1479,438,176,0,0,685,187,4413
