"","LDW","LDB","LDA","LDNAm","LDO","LDL","MDW","MDB","MDA","MDNAm","MDO","MDL","HD","sums"
"LDW",57,0,0,0,0,0,44,0,0,0,0,0,0,101
"LDB",0,30,0,0,0,0,0,36,0,0,0,0,0,66
"LDA",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDNAm",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDO",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDL",0,0,0,0,0,124,0,0,0,0,0,3,0,127
"MDW",0,0,0,0,0,0,210,11,0,0,0,40,42,303
"MDB",0,1,0,0,0,0,1,89,0,0,0,20,3,114
"MDA",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MDNAm",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MDO",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MDL",0,0,0,0,0,23,0,0,0,0,0,145,1,169
"HD",0,0,0,0,0,0,0,0,0,0,0,1,1,2
"sums",57,31,0,0,0,147,255,136,0,0,0,209,47,882
