"","LDW","LDB","LDA","LDNAm","LDO","LDL","MDW","MDB","MDA","MDNAm","MDO","MDL","HD","sums"
"LDW",153,0,0,0,0,0,133,0,0,0,0,0,0,286
"LDB",0,28,0,0,0,0,0,17,0,0,0,1,0,46
"LDA",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDNAm",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDO",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDL",0,0,0,0,0,30,1,0,0,0,0,3,0,34
"MDW",2,0,0,0,0,0,286,23,2,0,0,97,30,440
"MDB",0,2,0,0,0,0,1,50,0,0,0,15,0,68
"MDA",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MDNAm",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MDO",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MDL",0,0,0,0,0,15,8,1,0,0,0,112,0,136
"HD",0,0,0,0,0,0,1,1,0,0,0,9,10,21
"sums",155,30,0,0,0,45,430,92,2,0,0,237,40,1031
