"","LDW","LDB","LDA","LDNAm","LDO","LDL","MDW","MDB","MDA","MDNAm","MDO","MDL","HD","sums"
"LDW",131,0,0,0,0,0,105,1,0,0,0,0,0,237
"LDB",0,127,0,0,0,0,2,30,0,0,0,0,1,160
"LDA",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDNAm",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDO",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDL",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MDW",5,0,0,0,0,0,329,30,1,0,0,15,49,429
"MDB",0,12,0,0,0,0,13,76,0,0,0,19,4,124
"MDA",0,0,0,0,0,0,0,0,1,0,0,0,0,1
"MDNAm",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MDO",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MDL",0,0,0,0,0,2,2,0,0,0,0,10,1,15
"HD",0,0,0,0,0,0,7,4,0,0,0,13,26,50
"sums",136,139,0,0,0,2,458,141,2,0,0,57,81,1016
