"","LDW","LDB","LDA","LDNAm","LDO","LDL","MDW","MDB","MDA","MDNAm","MDO","MDL","HD","sums"
"LDW",12,0,0,0,0,0,50,0,0,0,0,0,0,62
"LDB",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDA",0,0,6,0,0,0,0,0,2,0,0,0,0,8
"LDNAm",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDO",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDL",0,0,0,0,0,2,0,0,0,0,0,2,0,4
"MDW",0,0,0,0,0,0,321,0,30,0,0,5,28,384
"MDB",0,0,0,0,0,0,0,9,0,0,0,7,21,37
"MDA",0,0,5,0,0,0,6,0,141,0,0,0,7,159
"MDNAm",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MDO",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MDL",0,0,0,0,0,1,1,1,8,0,0,97,4,112
"HD",0,0,0,0,0,0,1,0,10,0,0,6,83,100
"sums",12,0,11,0,0,3,379,10,191,0,0,117,143,866
