"","LDW","LDB","LDA","LDNAm","LDO","LDL","MDW","MDB","MDA","MDNAm","MDO","MDL","HD","sums"
"LDW",861,0,0,0,0,0,195,6,0,0,0,2,1,1065
"LDB",0,116,0,0,0,0,0,6,0,0,0,0,0,122
"LDA",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDNAm",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDO",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDL",0,0,0,0,0,1,0,0,0,0,0,0,0,1
"MDW",4,0,0,0,0,0,99,33,1,0,0,2,9,148
"MDB",0,17,0,0,0,0,2,67,0,0,0,3,0,89
"MDA",0,0,1,0,0,0,0,0,1,0,0,0,0,2
"MDNAm",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MDO",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MDL",0,0,0,0,0,0,0,0,0,0,0,18,0,18
"HD",0,0,0,0,0,0,0,2,0,0,0,0,0,2
"sums",865,133,1,0,0,1,296,114,2,0,0,25,10,1447
