"","LDW","LDB","LDA","LDNAm","LDO","LDL","MDW","MDB","MDA","MDNAm","MDO","MDL","HD","sums"
"LDW",331,0,0,0,0,0,346,8,5,0,0,16,27,733
"LDB",0,1,0,0,0,0,0,15,0,0,0,1,0,17
"LDA",0,0,0,0,0,0,0,0,1,0,0,0,0,1
"LDNAm",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDO",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDL",0,0,0,0,0,2,1,0,0,0,0,0,0,3
"MDW",0,0,0,0,0,5,61,10,3,0,0,23,20,122
"MDB",0,0,0,0,0,0,1,11,0,0,0,4,5,21
"MDA",0,0,0,0,0,0,2,0,0,0,0,0,1,3
"MDNAm",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MDO",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MDL",0,0,0,0,0,8,1,0,0,0,0,2,1,12
"HD",0,0,0,0,0,0,0,0,0,0,0,0,7,7
"sums",331,1,0,0,0,15,412,44,9,0,0,46,61,919
