"","LDW","LDB","LDA","LDNAm","LDO","LDL","MDW","MDB","MDA","MDNAm","MDO","MDL","HD","sums"
"LDW",267,0,0,0,0,0,249,0,0,0,0,0,0,516
"LDB",0,289,0,0,0,0,0,56,0,0,0,2,0,347
"LDA",0,0,1,0,0,0,0,0,0,0,0,0,0,1
"LDNAm",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDO",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDL",0,0,0,0,0,85,0,0,1,0,0,16,0,102
"MDW",0,0,0,0,0,0,558,17,9,0,0,57,30,671
"MDB",0,5,0,0,0,0,4,109,0,0,0,23,6,147
"MDA",0,0,0,0,0,0,0,0,9,0,0,0,0,9
"MDNAm",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MDO",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MDL",0,0,0,0,0,14,17,1,2,0,0,180,6,220
"HD",0,0,0,0,0,0,0,0,0,0,0,0,12,12
"sums",267,294,1,0,0,99,828,183,21,0,0,278,54,2025
