"","LDW","LDB","LDA","LDNAm","LDO","LDL","MDW","MDB","MDA","MDNAm","MDO","MDL","HD","sums"
"LDW",1437,0,0,0,0,0,659,28,1,0,0,10,8,2143
"LDB",0,353,0,0,0,1,1,68,0,0,0,1,0,424
"LDA",0,0,2,0,0,0,0,0,0,0,0,0,0,2
"LDNAm",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDO",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDL",0,0,0,0,0,46,1,0,0,0,0,30,1,78
"MDW",9,2,0,0,0,0,524,56,51,0,0,139,124,905
"MDB",0,37,0,0,0,0,10,269,0,0,0,54,14,384
"MDA",0,0,0,0,0,0,0,0,30,0,0,5,0,35
"MDNAm",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MDO",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MDL",0,0,0,0,0,25,8,9,3,0,0,346,17,408
"HD",0,0,0,0,0,0,0,2,5,0,0,1,26,34
"sums",1446,392,2,0,0,72,1203,432,90,0,0,586,190,4413
