"","LDW","LDB","LDA","LDNAm","LDO","LDL","MDW","MDB","MDA","MDNAm","MDO","MDL","HD","sums"
"LDW",163,0,0,0,0,0,127,0,0,0,0,3,0,293
"LDB",0,57,0,0,0,0,0,10,0,0,0,1,0,68
"LDA",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDNAm",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDO",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDL",0,0,0,0,0,20,0,0,0,0,0,1,0,21
"MDW",1,0,0,0,0,2,198,19,0,0,0,72,44,336
"MDB",0,0,0,0,0,0,7,45,0,0,0,18,1,71
"MDA",0,0,0,0,0,0,0,0,0,0,0,0,1,1
"MDNAm",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MDO",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MDL",0,0,0,0,0,27,3,0,0,0,0,53,2,85
"HD",0,0,0,0,0,0,0,0,0,0,0,2,1,3
"sums",164,57,0,0,0,49,335,74,0,0,0,150,49,878
