"","LDW","LDB","LDA","LDNAm","LDO","LDL","MDW","MDB","MDA","MDNAm","MDO","MDL","HD","sums"
"LDW",215,0,0,0,0,0,105,0,0,0,0,0,0,320
"LDB",0,11,0,0,0,0,0,2,0,0,0,0,0,13
"LDA",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDNAm",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDO",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDL",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MDW",0,0,0,0,0,0,136,7,0,0,0,20,1,164
"MDB",0,0,0,0,0,0,2,30,0,0,0,2,0,34
"MDA",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MDNAm",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MDO",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MDL",0,0,0,0,0,0,1,2,0,0,0,10,0,13
"HD",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sums",215,11,0,0,0,0,244,41,0,0,0,32,1,544
