"","LDW","LDB","LDA","LDNAm","LDO","LDL","MDW","MDB","MDA","MDNAm","MDO","MDL","HD","sums"
"LDW",280,0,0,0,0,0,252,0,0,0,0,2,0,534
"LDB",0,43,0,0,0,0,0,12,0,0,0,1,0,56
"LDA",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDNAm",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDO",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDL",0,0,0,0,0,9,0,0,0,0,0,0,0,9
"MDW",6,0,0,0,0,2,185,29,0,0,0,83,20,325
"MDB",0,3,0,0,0,0,3,27,0,0,0,13,1,47
"MDA",0,0,0,0,0,0,0,0,0,0,0,1,0,1
"MDNAm",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MDO",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MDL",0,0,0,0,0,23,0,0,0,0,0,35,0,58
"HD",0,0,0,0,0,0,0,0,0,0,0,1,0,1
"sums",286,46,0,0,0,34,440,68,0,0,0,136,21,1031
