"","LDW","LDB","LDA","LDNAm","LDO","LDL","MDW","MDB","MDA","MDNAm","MDO","MDL","HD","sums"
"LDW",66,0,0,0,0,0,73,0,0,0,0,0,0,139
"LDB",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDA",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDNAm",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDO",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDL",0,0,0,0,0,17,0,0,0,0,0,2,0,19
"MDW",1,0,0,0,0,0,233,0,9,0,0,37,2,282
"MDB",0,0,0,0,0,0,0,0,0,0,0,3,0,3
"MDA",0,0,0,0,0,0,0,0,15,0,0,0,0,15
"MDNAm",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MDO",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MDL",0,0,0,0,0,10,4,0,0,0,0,98,0,112
"HD",0,0,0,0,0,0,1,0,3,0,0,11,11,26
"sums",67,0,0,0,0,27,311,0,27,0,0,151,13,596
