"","LDW","LDB","LDA","LDNAm","LDO","LDL","MDW","MDB","MDA","MDNAm","MDO","MDL","HD","sums"
"LDW",474,10,0,0,0,0,379,45,4,0,0,2,0,914
"LDB",0,198,0,0,0,0,3,24,1,0,0,0,0,226
"LDA",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDNAm",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDO",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDL",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MDW",0,19,0,0,0,2,14,30,1,0,0,11,0,77
"MDB",0,25,0,0,0,0,4,22,1,0,0,3,0,55
"MDA",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MDNAm",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MDO",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MDL",0,0,0,0,0,2,0,0,0,0,0,2,0,4
"HD",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sums",474,252,0,0,0,4,400,121,7,0,0,18,0,1276
