"","LDW","LDB","LDA","LDNAm","LDO","LDL","MDW","MDB","MDA","MDNAm","MDO","MDL","HD","sums"
"LDW",720,0,0,0,0,0,305,8,0,0,0,22,0,1055
"LDB",0,345,0,0,0,0,0,11,0,0,0,1,0,357
"LDA",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDNAm",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDO",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDL",0,0,0,0,0,36,0,1,0,0,0,11,0,48
"MDW",17,6,0,0,0,15,206,27,3,0,0,74,12,360
"MDB",1,16,0,0,0,0,4,54,0,0,0,1,2,78
"MDA",0,0,1,0,0,0,0,0,6,0,0,1,0,8
"MDNAm",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MDO",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MDL",0,0,0,0,0,24,18,2,0,0,0,72,0,116
"HD",0,0,0,0,0,0,0,0,0,0,0,2,1,3
"sums",738,367,1,0,0,75,533,103,9,0,0,184,15,2025
