"","LDW","LDB","LDA","LDNAm","LDO","LDL","MDW","MDB","MDA","MDNAm","MDO","MDL","HD","sums"
"LDW",420,5,0,0,0,0,555,47,1,0,0,16,21,1065
"LDB",0,83,0,0,0,0,7,32,0,0,0,0,0,122
"LDA",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDNAm",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDO",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDL",0,0,0,0,0,1,0,0,0,0,0,0,0,1
"MDW",2,2,0,0,0,0,86,41,1,0,0,10,6,148
"MDB",0,7,0,0,0,0,13,61,0,0,0,6,2,89
"MDA",0,0,0,0,0,0,0,0,2,0,0,0,0,2
"MDNAm",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MDO",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MDL",0,0,0,0,0,2,2,0,0,0,0,14,0,18
"HD",0,0,0,0,0,0,0,2,0,0,0,0,0,2
"sums",422,97,0,0,0,3,663,183,4,0,0,46,29,1447
