"","LDW","LDB","LDA","LDNAm","LDO","LDL","MDW","MDB","MDA","MDNAm","MDO","MDL","HD","sums"
"LDW",347,0,0,0,0,0,210,0,0,0,0,0,1,558
"LDB",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDA",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDNAm",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDO",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDL",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MDW",1,0,0,0,0,0,74,0,2,0,0,0,11,88
"MDB",0,0,0,0,0,0,1,2,1,0,0,0,6,10
"MDA",0,0,0,0,0,0,0,0,7,0,0,0,0,7
"MDNAm",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MDO",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MDL",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HD",0,0,0,0,0,0,0,0,0,0,0,0,1,1
"sums",348,0,0,0,0,0,285,2,10,0,0,0,19,664
