"","LDW","LDB","LDA","LDNAm","LDO","LDL","MDW","MDB","MDA","MDNAm","MDO","MDL","HD","sums"
"LDW",295,0,0,0,0,0,147,0,0,0,0,0,0,442
"LDB",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDA",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDNAm",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDO",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDL",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MDW",2,0,0,0,0,0,219,0,1,0,0,0,19,241
"MDB",0,1,0,0,0,0,1,27,0,0,0,0,2,31
"MDA",0,0,0,0,0,0,0,0,1,0,0,0,0,1
"MDNAm",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MDO",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MDL",0,0,0,0,0,0,1,0,0,0,0,1,3,5
"HD",0,0,0,0,0,0,0,3,3,0,0,2,31,39
"sums",297,1,0,0,0,0,368,30,5,0,0,3,55,759
