"","LDW","LDB","LDA","LDNAm","LDO","LDL","MDW","MDB","MDA","MDNAm","MDO","MDL","HD","sums"
"LDW",421,0,0,0,0,0,252,0,0,0,0,0,1,674
"LDB",0,95,0,0,0,0,1,22,0,0,0,0,0,118
"LDA",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDNAm",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDO",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDL",0,0,0,0,0,2,0,0,0,0,0,1,0,3
"MDW",1,0,0,0,0,0,400,21,1,0,0,5,16,444
"MDB",0,2,0,0,0,0,7,136,0,0,0,5,3,153
"MDA",0,0,0,0,0,0,0,0,3,0,0,0,0,3
"MDNAm",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MDO",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MDL",0,0,0,0,0,1,1,0,0,0,0,34,1,37
"HD",0,0,0,0,0,0,2,4,0,0,0,1,8,15
"sums",422,97,0,0,0,3,663,183,4,0,0,46,29,1447
