"","LDW","LDB","LDA","LDNAm","LDO","LDL","MDW","MDB","MDA","MDNAm","MDO","MDL","HD","sums"
"LDW",623,0,0,0,0,0,108,0,0,0,0,1,1,733
"LDB",0,10,0,0,0,0,0,7,0,0,0,0,0,17
"LDA",0,0,0,0,0,0,0,0,1,0,0,0,0,1
"LDNAm",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDO",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDL",0,0,0,0,0,2,0,0,0,0,0,1,0,3
"MDW",1,0,0,0,0,0,82,3,2,0,0,17,17,122
"MDB",0,0,0,0,0,0,2,16,0,0,0,1,2,21
"MDA",0,0,0,0,0,0,1,0,2,0,0,0,0,3
"MDNAm",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MDO",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MDL",0,0,0,0,0,4,0,0,0,0,0,7,1,12
"HD",0,0,0,0,0,0,0,3,0,0,0,0,4,7
"sums",624,10,0,0,0,6,193,29,5,0,0,27,25,919
