"","LDW","LDB","LDA","LDNAm","LDO","LDL","MDW","MDB","MDA","MDNAm","MDO","MDL","HD","sums"
"LDW",13,0,0,0,0,4,225,2,0,0,0,23,26,293
"LDB",0,9,0,0,0,1,0,50,0,0,0,7,1,68
"LDA",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDNAm",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDO",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDL",0,0,0,0,0,17,0,0,0,0,0,4,0,21
"MDW",0,0,0,0,0,24,84,20,7,0,0,148,53,336
"MDB",0,0,0,0,0,0,6,18,1,0,0,41,5,71
"MDA",0,0,0,0,0,0,0,0,0,0,0,1,0,1
"MDNAm",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MDO",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MDL",0,0,0,0,0,35,9,1,1,0,0,35,4,85
"HD",0,0,0,0,0,0,0,0,0,0,0,3,0,3
"sums",13,9,0,0,0,81,324,91,9,0,0,262,89,878
