"","LDW","LDB","LDA","LDNAm","LDO","LDL","MDW","MDB","MDA","MDNAm","MDO","MDL","HD","sums"
"LDW",221,0,0,0,0,0,296,0,0,0,0,0,0,517
"LDB",0,20,0,0,0,0,0,18,0,0,0,2,0,40
"LDA",0,0,1,0,0,0,0,0,0,0,0,0,0,1
"LDNAm",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDO",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDL",0,0,0,0,0,274,0,0,0,0,0,10,0,284
"MDW",4,0,0,0,0,0,603,3,84,0,0,230,61,985
"MDB",0,3,0,0,0,1,0,60,1,0,0,56,2,123
"MDA",0,0,1,0,0,0,0,0,65,0,0,7,2,75
"MDNAm",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MDO",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MDL",1,0,0,0,0,116,3,0,21,0,0,394,3,538
"HD",0,0,0,0,0,0,0,1,2,0,0,22,9,34
"sums",226,23,2,0,0,391,902,82,173,0,0,721,77,2597
