"","LDW","LDB","LDA","LDNAm","LDO","LDL","MDW","MDB","MDA","MDNAm","MDO","MDL","HD","sums"
"LDW",127,0,0,0,0,0,92,0,0,0,0,0,0,219
"LDB",0,114,0,0,0,0,0,8,0,0,0,0,0,122
"LDA",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDNAm",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDO",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDL",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MDW",0,0,0,0,0,0,162,13,1,0,0,4,28,208
"MDB",0,1,0,0,0,0,1,64,0,0,0,2,2,70
"MDA",0,0,0,0,0,0,0,0,1,0,0,0,0,1
"MDNAm",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MDO",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MDL",0,0,0,0,0,0,0,0,0,0,0,2,0,2
"HD",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sums",127,115,0,0,0,0,255,85,2,0,0,8,30,622
