"","LDW","LDB","LDA","LDNAm","LDO","LDL","MDW","MDB","MDA","MDNAm","MDO","MDL","HD","sums"
"LDW",12,0,0,0,0,0,221,0,8,0,0,1,7,249
"LDB",0,0,0,0,0,0,0,5,0,0,0,8,6,19
"LDA",0,0,2,0,0,0,0,0,3,0,0,0,0,5
"LDNAm",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDO",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDL",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MDW",0,0,7,0,0,0,143,1,110,0,0,51,82,394
"MDB",0,0,0,0,0,1,5,4,10,0,0,20,34,74
"MDA",0,0,2,0,0,0,5,0,46,0,0,0,6,59
"MDNAm",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MDO",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MDL",0,0,0,0,0,2,3,0,5,0,0,23,3,36
"HD",0,0,0,0,0,0,2,0,9,0,0,14,5,30
"sums",12,0,11,0,0,3,379,10,191,0,0,117,143,866
