"","LDW","LDB","LDA","LDNAm","LDO","LDL","MDW","MDB","MDA","MDNAm","MDO","MDL","HD","sums"
"LDW",331,0,0,0,0,0,170,0,0,0,0,0,0,501
"LDB",0,1,0,0,0,0,0,3,0,0,0,0,0,4
"LDA",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDNAm",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDO",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDL",0,0,0,0,0,10,0,0,0,0,0,0,0,10
"MDW",0,0,0,0,0,0,236,6,5,0,0,13,34,294
"MDB",0,0,0,0,0,0,0,30,0,0,0,4,3,37
"MDA",0,0,0,0,0,0,1,0,4,0,0,0,0,5
"MDNAm",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MDO",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MDL",0,0,0,0,0,5,4,0,0,0,0,29,1,39
"HD",0,0,0,0,0,0,1,5,0,0,0,0,23,29
"sums",331,1,0,0,0,15,412,44,9,0,0,46,61,919
