"","LDW","LDB","LDA","LDNAm","LDO","LDL","MDW","MDB","MDA","MDNAm","MDO","MDL","HD","sums"
"LDW",127,1,0,0,0,0,210,32,2,0,0,7,12,391
"LDB",0,86,0,0,0,0,1,8,0,0,0,0,1,96
"LDA",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDNAm",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDO",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDL",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MDW",0,10,0,0,0,0,42,30,0,0,0,1,17,100
"MDB",0,18,0,0,0,0,2,15,0,0,0,0,0,35
"MDA",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MDNAm",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MDO",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MDL",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HD",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sums",127,115,0,0,0,0,255,85,2,0,0,8,30,622
