"","LDW","LDB","LDA","LDNAm","LDO","LDL","MDW","MDB","MDA","MDNAm","MDO","MDL","HD","sums"
"LDW",260,0,0,0,0,0,162,0,0,0,0,5,0,427
"LDB",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDA",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDNAm",0,0,0,6,0,0,0,0,0,0,0,0,0,6
"LDO",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDL",0,0,0,0,0,7,1,0,0,0,0,2,0,10
"MDW",7,0,0,0,0,1,92,0,0,0,0,70,1,171
"MDB",0,0,0,0,0,0,0,1,0,0,0,5,0,6
"MDA",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MDNAm",0,0,0,0,0,0,0,0,0,1,0,0,0,1
"MDO",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MDL",0,0,0,1,0,19,1,0,0,0,0,33,0,54
"HD",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sums",267,0,0,7,0,27,256,1,0,1,0,115,1,675
