"","LDW","LDB","LDA","LDNAm","LDO","LDL","MDW","MDB","MDA","MDNAm","MDO","MDL","HD","sums"
"LDW",354,0,0,0,0,0,52,5,0,0,0,1,0,412
"LDB",0,70,0,0,0,0,0,1,0,0,0,0,0,71
"LDA",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDNAm",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDO",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDL",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MDW",1,2,0,0,0,0,24,14,0,0,0,0,0,41
"MDB",0,8,0,0,0,0,0,11,0,0,0,0,0,19
"MDA",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MDNAm",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MDO",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MDL",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HD",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sums",355,80,0,0,0,0,76,31,0,0,0,1,0,543
