"","LDW","LDB","LDA","LDNAm","LDO","LDL","MDW","MDB","MDA","MDNAm","MDO","MDL","HD","sums"
"LDW",60,0,0,0,0,0,59,0,0,0,0,0,0,119
"LDB",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDA",0,0,5,0,0,0,0,0,0,0,0,0,0,5
"LDNAm",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDO",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDL",0,0,0,0,0,0,0,0,0,0,0,1,0,1
"MDW",2,0,0,0,0,0,314,0,46,0,0,18,29,409
"MDB",0,0,0,0,0,0,2,37,3,0,0,14,12,68
"MDA",0,0,3,0,0,0,0,0,91,0,0,0,1,95
"MDNAm",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MDO",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MDL",0,0,0,0,0,4,4,0,3,0,0,59,1,71
"HD",0,0,0,0,0,0,5,0,16,0,0,20,57,98
"sums",62,0,8,0,0,4,384,37,159,0,0,112,100,866
