"","LDW","LDB","LDA","LDNAm","LDO","LDL","MDW","MDB","MDA","MDNAm","MDO","MDL","HD","sums"
"LDW",19,0,0,0,0,0,45,0,0,0,0,1,0,65
"LDB",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDA",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDNAm",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDO",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDL",0,0,0,0,0,27,0,0,0,0,0,2,0,29
"MDW",0,0,0,0,0,0,179,0,2,0,0,101,4,286
"MDB",0,0,0,0,0,0,0,0,0,0,0,1,0,1
"MDA",0,0,0,0,0,0,0,0,2,0,0,0,0,2
"MDNAm",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MDO",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MDL",0,0,0,0,0,29,1,0,0,0,0,145,1,176
"HD",0,0,0,0,0,0,0,0,3,0,0,11,9,23
"sums",19,0,0,0,0,56,225,0,7,0,0,261,14,582
