"","LDW","LDB","LDA","LDNAm","LDO","LDL","MDW","MDB","MDA","MDNAm","MDO","MDL","HD","sums"
"LDW",136,0,0,0,0,0,109,0,0,0,0,0,0,245
"LDB",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDA",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDNAm",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDO",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDL",0,0,0,0,0,10,0,0,0,0,0,1,0,11
"MDW",3,0,0,0,0,0,170,0,8,0,0,43,18,242
"MDB",0,0,0,0,0,0,0,3,0,0,0,4,1,8
"MDA",0,0,0,0,0,0,1,0,6,0,0,1,0,8
"MDNAm",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MDO",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MDL",0,0,0,0,0,9,2,0,0,0,0,49,0,60
"HD",0,0,0,0,0,0,0,0,1,0,0,14,7,22
"sums",139,0,0,0,0,19,282,3,15,0,0,112,26,596
