"","LDW","LDB","LDA","LDNAm","LDO","LDL","MDW","MDB","MDA","MDNAm","MDO","MDL","HD","sums"
"LDW",13,0,0,0,0,0,48,0,0,0,0,0,0,61
"LDB",0,9,0,0,0,0,0,31,0,0,0,0,1,41
"LDA",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDNAm",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDO",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDL",0,0,0,0,0,68,0,0,0,0,0,17,0,85
"MDW",0,0,0,0,0,0,269,2,0,0,0,28,46,345
"MDB",0,0,0,0,0,0,1,51,0,0,0,24,2,78
"MDA",0,0,0,0,0,0,0,0,7,0,0,0,2,9
"MDNAm",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MDO",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MDL",0,0,0,0,0,13,4,2,0,0,0,191,8,218
"HD",0,0,0,0,0,0,2,5,2,0,0,2,30,41
"sums",13,9,0,0,0,81,324,91,9,0,0,262,89,878
